cut your knee;skaleczyć sic w kolano
cut your finger;skaleczyć sic w palec
do exercises;wykonywać ćwiczenia, ćwiczyć
do weight training;podnosie ciężary
do yoga;uprawiać jogę
go running;isc pobiegać
go cycling;iść pojeidzia na rowerze
go swimming;iść popływać
go to the gym;chodzić na silownię
have fitness classes;mieć zajęcia fitness
hurt your hand;zranić się w rękę
hurt your back;zranić się w plecy
keep fit;utrzymywać dobrą kondycję
Play rugby;grać w rugby
twist your ankle;skręcić kostkę
twist your leg;skrecić nogę
Help yourself;Poczęstuj się
I'm starving!;Umieram z glodu!
Snacks;Przekąski
cake;ciasto
chocolate bar;batonik czekoladowy
crisps;czipsy
fruit;owoce
hamburger;hamburger
hot dog;hot dog
nuts;orzechy
salad;sałatka
sandwich;kanapka
soup;zupa
delicious;smaczny, pyszny
fruit juice;sok owocowy
healthy;zdrowy
