meat;mięso
menu;menu
salt;sól
sugar;cukier
sweets;słodycze
tea;herbata
vegetable;warzywo
vegetarian;wegetariański
water;woda
fall asleep;zasnąć
feel ill;czuć się chorym
feel sick;czuć się chorym (druga opcja)
feel terrible;czuć się źle
feel tired;czuć się zmęczonym
get ready for bed;szykować się do snu
get up early;wstawać wcześnie
get up late;wstawać późno
go to bed;iść do łóżka
go to sleep;iść spać
have a dream;mieć sen, śnić
sleep easily;zasypiać z łatowścią
sleepy;senny
stay in bed late;wylegiwać się, późno wstawać
stay up late;późno chodzie spać
wake up early;budzić się wcześnie
accident;wypadek
pay attention to sth;zwracać uwage na coś
allergy;alergia (pokarmowa)
cold;przeziębienie
cough;kaszel, kasłać
hay fever;katar sienny
headache;bol głowy
high temperature;wysoka temperatura
sneeze;mieć katar, kichć
sore throat;ból gardła
stomachache;ból brzucha
the flu;grypa
I see;Rozumiem
Just the usual;To, co zwykle
aspirin;aspiryna
doctor's appointment;wizyta u lekarza
health;zdrowie
illness;choroba
make an appointment with the doctor;umowić wizytę u lekarza
medicine;leki
tablet;tabletka
toothache;ból zęba
check out;sprawdzić
fall out;pokłócić się
find out;dowiedzieć się
get on with sb;dobrze się z kimś rozumieć
give up;przestć coć robić, poddać się
go off;zepsuć się (np. o jedzeniu)
go on;dziać się
hang out;spędzać z kimś czas
look after;opiekować się
pick up (illness);złapać (chorobę)
take up;zacząć uparawiać (sport)
top up;doładować telefon
